date,gspc_close,vix_close,spy_close,ief_close,score_momentum,score_vix,score_safe_haven,composite,nh,nl,advances,declines,mclellan_osc,mclellan_sum,ad_line,score_nh_nl,score_breadth
2023-06-12,4338.93017578125,15.010000228881836,417.4482727050781,87.1668472290039,,,,,,,,,,,,,
2023-06-13,4369.009765625,14.609999656677246,420.20050048828125,86.54743957519531,,,,,,,,,,,,,
2023-06-14,4372.58984375,13.880000114440918,420.700927734375,86.66414642333984,,,,,,,,,,,,,
2023-06-15,4425.83984375,14.5,425.9166259765625,87.33743286132812,,,,,,,,,,,,,
2023-06-16,4409.58984375,13.539999961853027,424.4658203125,86.96038818359375,,,,,,,,,,,,,
2023-06-20,4388.7099609375,13.880000114440918,422.2636413574219,87.22074127197266,,,,,,,,,,,,,
2023-06-21,4365.68994140625,13.199999809265137,420.10009765625,87.30152893066406,,,,,,,,,,,,,
2023-06-22,4381.89013671875,12.90999984741211,421.6165466308594,86.80780029296875,,,,,,,,,,,,,
2023-06-23,4348.330078125,13.4399995803833,418.42913818359375,87.1668472290039,,,,,,,,,,,,,
2023-06-26,4328.81982421875,14.25,416.7195129394531,87.38231658935547,,,,,,,,,,,,,
2023-06-27,4378.41015625,13.739999771118164,421.2881164550781,87.07707214355469,,,,,,,,,,,,,
2023-06-28,4376.85986328125,13.430000305175781,421.5006408691406,87.42720794677734,,,,,,,,,,,,,
2023-06-29,4396.43994140625,13.539999961853027,423.16192626953125,86.52950286865234,,,,,,,,,,,,,
2023-06-30,4450.3798828125,13.59000015258789,428.1555480957031,86.71802520751953,,,,,,,,,,,,,
2023-07-03,4455.58984375,13.569999694824219,428.6480712890625,86.34187316894531,,,,,,,,,,,,,
2023-07-05,4446.81982421875,14.180000305175781,428.0106201171875,85.92794036865234,,,,,,,,,,,,,
2023-07-06,4411.58984375,15.4399995803833,424.6590576171875,85.22601318359375,,,,,,,,,,,,,
2023-07-07,4398.9501953125,14.829999923706055,423.58685302734375,85.11804962158203,,,,,,,,,,,,,
2023-07-10,4409.52978515625,15.069999694824219,424.6590576171875,85.55899810791016,,,,,,,,,,,,,
2023-07-11,4439.259765625,14.84000015258789,427.36346435546875,85.73896789550781,,,,,,,,,,,,,
2023-07-12,4472.16015625,13.539999961853027,430.8020935058594,86.57585144042969,,,,,,,,,,,,,
2023-07-13,4510.0400390625,13.609999656677246,434.2212219238281,87.29571533203125,,,,,,,,,,,,,
2023-07-14,4505.419921875,13.34000015258789,433.9508056640625,86.86378479003906,,,,,,,,,,,,,
2023-07-17,4522.7900390625,13.479999542236328,435.45758056640625,87.00775146484375,,,,,,,,,,,,,
